"Province,""District"",""Jan"",""Feb"",""Mar"",""Apr"",""May"",""June"",""July"",""Aug"",""Sept"",""Oct"",""Nov"",""Dec"",""Total"""
"Western,""Colombo"",1225,792,815,579,866,1126,1857,1903,1462,2593,4217,3283,20718"
"Western,""Gampaha"",724,466,511,429,569,890,1760,2059,1515,2070,3154,2426,16573"
"Western,""Kalutara"",372,202,250,219,384,749,1136,1095,737,988,1310,953,8395"
"Central,""Kandy"",288,229,231,192,296,289,515,677,784,1502,2444,1493,8940"
"Central,""Matale"",62,54,58,17,30,54,60,73,62,275,902,798,2445"
"Central,""Nuwara Eliya"",26,17,12,7,19,22,33,31,32,52,97,90,438"
"Southern,""Galle"",132,123,156,207,772,1155,1055,956,470,536,993,823,7378"
"Southern,""Hambantota"",140,91,80,81,109,124,272,271,199,224,263,195,2049"
"Southern,""Matara"",219,133,101,106,130,291,583,717,383,493,543,355,4054"
"Northern,""Jaffna"",900,454,268,161,123,59,90,110,154,538,2641,2763,8261"
"Northern,""Kilinochchi"",34,23,16,11,12,9,11,5,13,22,99,141,396"
"Northern,""Mannar"",27,16,14,9,6,3,1,2,1,22,40,130,271"
"Northern,""Vavuniya"",41,44,57,16,15,11,17,15,28,60,262,306,872"
"Northern,""Mulativu"",47,31,12,3,10,1,10,7,1,18,56,72,268"
"Eastern,""Batticaloa"",191,195,218,128,101,74,84,96,66,164,511,1020,2848"
"Eastern,""Ampara"",25,18,37,12,11,24,26,33,24,37,60,81,388"
"Eastern,""Trincomalee"",157,106,164,148,108,97,105,52,45,85,536,1366,2969"
"Eastern,""Kalmunai"",107,94,115,92,67,48,29,33,29,46,372,497,1529"
"North Western,""Kurunegala"",215,147,148,119,121,134,259,263,195,350,612,655,3218"
"North Western,""Puttalam"",79,60,52,29,33,92,137,150,159,355,624,487,2257"
"North central,""Anuradhapura"",64,53,51,34,36,62,78,103,54,105,254,270,1164"
"North central,""Polonnaruwa"",39,19,25,21,23,40,49,43,36,51,108,107,561"
"Uva,""Badulla"",79,68,73,45,41,88,113,144,126,230,490,425,1922"
"Uva,""Moneragala"",60,38,49,39,29,59,48,11,0,0,0,0,333"
"Sabaragamuwa,""Ratnapura"",177,165,210,176,235,347,354,439,415,425,687,456,4086"
"Sabaragamuwa,""Kegalle"",150,98,109,90,114,171,215,258,317,332,494,368,2716"
"TOTAL,"""",5580,3736,3832,2970,4260,6019,8897,9546,7307,11573,21769,19560,105049"
